2017-08-14 16:39:42, 1.3.6.1.4.1.25728.8800.1.1.2.2, construction temperature, 0
2017-08-14 16:39:47, 1.3.6.1.4.1.25728.8900.1.1.2.1, PC power socket, 0
2017-08-14 16:39:56, 1.3.6.1.4.1.25728.8900.1.1.2.2, Contactor power socket, 0
2017-08-14 16:40:00, 1.3.6.1.4.1.25728.8900.1.1.2.3, 220V Power, 0
2017-08-14 16:40:02, 1.3.6.1.4.1.25728.8900.1.1.2.4, Door Box, 0
2017-08-14 16:40:05, 1.3.6.1.2.1.1.3, sysUpTime, 0
2017-08-14 16:40:07, 1.3.6.1.4.1.99999.1.1.1, Modem IMEI, 0
2017-08-14 16:40:11, 1.3.6.1.2.1.25.2.2.0, hrMemorySize, 126556
2017-08-14 16:40:16, 1.3.6.1.4.1.99999.1.1.2, Modem model, 0
2017-08-14 16:40:17, 1.3.6.1.4.1.99999.1.1.3, Modem manufacturer, 0
2017-08-14 16:40:18, 1.3.6.1.2.1.25.3.3.1.2, hrProcessorLoad, 0
2017-08-14 16:40:20, 1.3.6.1.2.1.1.5, sysName, 0
2017-08-14 16:40:21, 1.3.6.1.4.1.99999.1.1.4, Modem revision, 0
2017-08-14 16:40:24, 1.3.6.1.4.1.99999.1.1.5, Modem serial number, 0
2017-08-14 16:40:25, 1.3.6.1.4.1.99999.1.1.6, SIM status, 0
2017-08-14 16:40:26, 1.3.6.1.4.1.99999.1.1.7, Pin status, 0
2017-08-14 16:44:56, 1.3.6.1.2.1.1.3, sysUpTime, 0
2017-08-14 16:45:44, 1.3.6.1.2.1.25.2.2.0, hrMemorySize, 8284528
2017-08-14 16:45:49, 1.3.6.1.2.1.25.3.3.1.2, hrProcessorLoad, 0
2017-08-14 16:46:57, 1.3.6.1.2.1.1.5, sysName, 0
